Name;Set;Imagefile;Side;Culture;Type;Twilight;Strength;Vitality;Resistance;Signet/Site#;Unique;Set#;Rarity;Card#;Notes;Lore;Text
Legolas, Greenleaf (P);Promotional;LOTR00013;Free;Elven;Companion - Elf;02;06;3;06;Frodo;U;00;P;013;;;Archer. Archery: Exert Legolas to wound a minion; Legolas does not add to the fellowship archery total.
Aragorn, Ranger of the North (P);Promotional;LOTR00014;Free;Gondor;Companion - Man;04;08;4;06;Gandalf;U;00;P;014;;;Ranger. Maneuver: Exert Aragorn to make him defender +1 until the regroup phase.
Legolas, Son of Thranduil (P);Promotional;LOTR00015;Free;Elven;Companion - Elf;02;06;3;06;Aragorn;U;00;P;015;;;Archer. While Legolas is at a river or forest, add 1 to the fellowship archery total.
Faramir, Son of Denethor (P);Promotional;LOTR00016;Free;Gondor;Companion - Man;03;07;3;06;Frodo;U;00;P;016;;;Ring-bound. Ranger. An opponent may not play skirmish events or use skirmish special abilities during skirmishes involving Faramir.
Eowyn, Lady of Rohan (P);Promotional;LOTR00017;Free;Rohan;Companion - Man;02;06;3;06;Theoden;U;00;P;017;;;Valiant. Response: If an unbound companion is about to take a wound, exert Eowyn and add [1] to prevent that wound.
Smeagol, Old Noser (P);Promotional;LOTR00018;Free;Gollum;Companion;00;03;4;06;Frodo;U;00;P;018;;;Ring-bound. To play add a burden. Regroup: Exert Smeagol (or Gollum) twice to reveal the top 4 cards of your draw deck. Wound a minion for each Shadow card revealed. Place those 4 cards beneath your draw deck in any order.
Theoden, King of the Golden Hall (P);Promotional;LOTR00019;Free;Rohan;Companion - Man;02;06;2;06;Gandalf;U;00;P;019;;;Valiant. Maneuver: Play a [ROHAN] possession on Theoden to heal a [ROHAN] ally.
Black Rider (P);Promotional;LOTR00020;Shadow;Wraith;Minion - Nazgul;05;08;3;;3;;00;P;020;;;Fierce. This minion is strength +1 for each companion you can spot.
Treebeard, Guardian of the Forest (P);Promotional;LOTR00021;Free;Gandalf;Companion - Ent;05;12;4;06;;U;00;P;021;;;Unhasty. Assignment: Exert an unbound Hobbit to allow Treebeard to skirmish. Skirmish: Exert Treebeard to make an Ent damage +1.
Fell Beast (P);Promotional;LOTR00022;Shadow;Wraith;Possession - Mount;00;+2;;;;;00;P;022;;;To play, discard 2 cards from hand. Bearer must be a Nazgul. Bearer is fierce.
Aragorn, Captain of Gondor (P);Promotional;LOTR00023;Free;Gondor;Companion - Man;04;08;4;06;Aragorn;U;00;P;023;;;Knight. At the start of each fellowship phase, you may add [2] to heal another [GONDOR] companion.
Legolas, Elven Stalwart (P);Promotional;LOTR00024;Free;Elven;Companion - Elf;02;06;3;06;Aragorn;U;00;P;024;;;Archer. While you can spot 3 wounded minions, each minion skirmishing Legolas is strength -3.
Denethor, Wizened Steward (P);Promotional;LOTR00025;Free;Gondor;Companion - Man;02;05;3;06;Aragorn;U;00;P;025;;;Denethor is strength +1 for each other [GONDOR] Man you can spot (limit +4).
Gandalf, Defender of the West (P);Promotional;LOTR00026;Free;Gandalf;Companion - Wizard;04;09;4;06;Gandalf;U;00;P;026;;;While you cannot spot 3 companions of the same culture, Gandalf is strength -2.
Frodo, Resolute Hobbit (P);Promotional;LOTR00027;Free;Shire;Companion - Hobbit;00;03;4;12;Frodo;U;00;P;027;;;Ring-bearer (resistance 12).
Arwen, Fair Elf Maiden (P);Promotional;LOTR00028;Free;Elven;Companion - Elf;02;06;3;06;Gandalf;U;00;P;028;;;While skirmishing a fierce minion, Arwen is strength +3.
Eowyn, Dernhelm (P);Promotional;LOTR00029;Free;Rohan;Companion - Man;02;06;3;06;Theoden;U;00;P;029;;;Valiant. While skirmishing a mounted minion, Eowyn is strength +2. While skirmishing a fierce minion, Eowyn is strength +2.
The Balrog, Terror of Flame and Shadow (P);Promotional;LOTR00030;Shadow;Moria;Minion - Balrog;14;17;5;;4;U;00;P;030;;;Damage +2. The twilight cost of The Balrog is -3 if you can spot a [MORIA] minion. The Balrog cannot be assigned to skirmish companions or allies of strength less than 6.
The Pale Blade (P);Promotional;LOTR00031;Shadow;Wraith;Possession - Hand Weapon;02;+3;;;;U;00;P;031;;;Bearer must be The Witch-king. He is damage +1. Response: If The Witch-king wins a skirmish, exert him to discard a Free Peoples condition.
Gandalf, Mithrandir (P);Promotional;LOTR00032;Free;Gandalf;Companion - Wizard;04;10;4;06;Aragorn;U;00;P;032;;;Damage +1. Each time the fellowship moves, wound Gandalf.
Firefoot (P);Promotional;LOTR00033;Free;Rohan;Possession - Mount;02;;;;;U;00;P;033;;;Bearer must be a [ROHAN] Man. If bearer is Eomer, he is defender +1. At the start of each skirmish involving bearer, each minion skirmishing bearer must exert.
Gimli's Helm (P);Promotional;LOTR00034;Free;Dwarven;Possession - Helm;00;;;;;U;00;P;034;;;Bearer must be Gimli. He takes no more than 1 wound during each skirmish phase. Skirmish: Discard Gimli's Helm to prevent all wounds to him.
Faramir, Captain of Gondor (P);Promotional;LOTR00035;Free;Gondor;Companion - Man;03;07;3;06;Aragorn;U;00;P;035;;;Ring-bound. Ranger. The twilight cost of each other [GONDOR] Man in your starting fellowship is -1. While skirmishing a roaming minion, Faramir is strength +2.
Whip of Many Thongs (P);Promotional;LOTR00036;Shadow;Moria;Artifact - Hand Weapon;01;+1;;;;U;00;P;036;;;Bearer must be The Balrog. Skirmish: Exert The Balrog to discard a helm, shield, or armor borne by a character The Balrog is skirmishing.
The Witch-king, Lord of the Nazgul (P);Promotional;LOTR00037;Shadow;Wraith;Minion - Nazgul;08;14;4;;3;U;00;P;037;;;Twilight. Return to Its Master may not be played. Each time The Witch-king wins a skirmish, you may exert him to wound the Ring-bearer twice.
Gandalf's Staff, Walking Stick (P);Promotional;LOTR00038;Free;Gandalf;Artifact - Staff;02;;+1;;;U;00;P;038;;;Bearer must be Gandalf. While you can spot 2 twilight tokens, Gandalf is damage +2.
Eowyn, Sister-daughter of Theoden (P);Promotional;LOTR00039;Free;Rohan;Companion - Man;02;06;3;06;Aragorn;U;00;P;039;;;Valiant. Response: If Eowyn is exhausted and about to take a wound in a skirmish, discard 2 cards from hand to prevent that wound.
Axe of Erebor (P);Promotional;LOTR00040;Free;Dwarven;Possession - Hand Weapon;02;+2;;;;U;00;P;040;;;Bearer must be Gimli. He is damage +1. Skirmish: Discard a [DWARVEN] condition or a card stacked on a [DWARVEN] condition to make Gimli strength +1.
Aragorn's Bow (P);Promotional;LOTR00041;Free;Gondor;Possession - Ranged Weapon;01;;;;;U;00;P;041;;;Bearer must be Aragorn. He is an archer. Archery: Exert Aragorn to wound a minion; Aragorn does not add to the fellowship archery total.
The Balrog's Sword (P);Promotional;LOTR00042;Shadow;Moria;Artifact - Hand Weapon;01;+3;;;;U;00;P;042;;;Bearer must be The Balrog. It is damage +1. This weapon may be borne in addition to 1 other hand weapon.
Ulaire Nelya, Ringwraith in Twilight (P);Promotional;LOTR00043;Shadow;Wraith;Minion - Nazgul;05;10;3;;2;U;00;P;043;;;Twilight. While you can spot 2 burdens or 2 wounds on the Ring-bearer, Ulaire Nelya is fierce and damage +1.
Glamdring, Lightning Brand (P);Promotional;LOTR00044;Free;Gandalf;Possession - Hand Weapon;02;+2;;;;U;00;P;044;;;Bearer must be Gandalf. He is damage +1. Each time you play a spell during a skirmish, you may make Gandalf damage +1 until the end of that skirmish.
Eomer, Third Marshal of Riddermark (P);Promotional;LOTR00045;Free;Rohan;Companion - Man;03;07;3;06;Theoden;U;00;P;045;;;While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. Eomer is strength +2 for each wound on each minion he is skirmishing.
Gimli, Skilled Defender (P);Promotional;LOTR00046;Free;Dwarven;Companion - Dwarf;02;06;3;06;Theoden;U;00;P;046;;;Damage +1. Each time Gimli wins a skirmish, you may wound a minion assigned to skirmish an unbound companion.
Aragorn, Defender of Free Peoples (P);Promotional;LOTR00047;Free;Gondor;Companion - Man;04;08;4;06;Theoden;U;00;P;047;;;Skirmish: Remove an [ELVEN] token to make a minion skirmishing Aragorn strength -3. Skirmish: Remove a [DWARVEN] token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a [ROHAN] token to wound a minion twice.
Shelob, Last Child of Ungoliant (P);Promotional;LOTR00048;Shadow;Gollum;Minion - Spider;06;08;8;;8;U;00;P;048;;;Enduring. Fierce. While in a fierce skirmish, Shelob is damage +1.
Eomer, Keeper of Oaths (P);Promotional;LOTR00049;Free;Rohan;Companion - Man;03;08;3;06;Gandalf;U;00;P;049;;;Valiant. When you play Eomer (except in your starting fellowship), you may reveal the top 10 cards of your draw deck and play all [ROHAN] possessions revealed. Shuffle your draw deck.
Glorfindel, Revealed in Wrath (P);Promotional;LOTR00050;Free;Elven;Companion - Elf;04;09;3;06;;U;00;P;050;;;When Glorfindel is in your starting fellowship, his twilight cost is -2. Skirmish: Reveal the top card of your draw deck. You may exert Glorfindel to make a Nazgul he is skirmishing strength -X, where X is the twilight cost of the card revealed.
Radagast, The Brown (P);Promotional;LOTR00051;Free;Gandalf;Companion - Wizard;04;08;4;06;Gandalf;U;00;P;051;;;The move limit is +1. Each time the fellowship moves during the regroup phase, each opponent may discard 2 cards from hand to draw 2 cards.
Goldberry, River-daughter (P);Promotional;LOTR00052;Free;Shire;Ally - Home 2;03;04;6;;2;U;00;P;052;;;Each time the fellowship moves to a river, heal Goldberry and Tom Bombadil. Skirmish: If the fellowship is at a river, exert Goldberry to make a companion strength +1.
Tom Bombadil, The Master (P);Promotional;LOTR00053;Free;Shire;Ally - Home 2;05;14;9;;2;U;00;P;053;;;To play, remove 2 burdens or 2 threats. Skirmish: Spot 2 [SHIRE] companions and exert Tom Bombadil X times, where X is the fellowship's site number, to cancel a skirmish involving a [SHIRE] companion.
Sauron, The Lord of the Rings (P);Promotional;LOTR00054;Shadow;Sauron;Minion - Maia;18;24;5;;6;U;00;P;054;;;Damage +2. Enduring. Fierce. For each burden you spot, threat you spot, and site you control, Sauron's twilight cost is -1.
Gorgoroth Swarm (P);Promotional;LOTR00055;Shadow;Sauron;Minion - Orc;05;12;3;;5;;00;P;055;;;Besieger. When you play this minion, if you can spot another besieger, you may spot 6 companions to play a besieger from your discard pile and control a site.
Ghan-buri-Ghan, Chieftain of the Woses (P);Promotional;LOTR00056;Free;Gandalf;Companion - Man;02;06;3;05;;U;00;P;056;;;While you can spot 2 other Men, Ghan-buri-Ghan cannot be overwhelmed unless his strength is tripled. While at a forest site, Ghan-buri-Ghan is defender +1.
Radagast's Staff (P);Promotional;LOTR00057;Free;Gandalf;Artifact - Staff;01;+1;+1;;;U;00;P;057;;;Bearer must be Radagast. Each time the fellowship moves during the regroup phase, you may draw 2 cards.
Anarion, Lord of Anorien (P);Promotional;LOTR00058;Free;Gondor;Companion - Man;03;07;3;06;;U;00;P;058;;;Skirmish: Play a [GONDOR] skirmish event to make each minion skirmishing Anarion strength -X, where X is Anarion's vitality.
Erkenbrand, Master of Westfold (P);Promotional;LOTR00059;Free;Rohan;Companion - Man;03;07;3;05;;U;00;P;059;;;If you can spot a [ROHAN] Man, you may play Erkenbrand any time you could play a skirmish event. When you play Erkenbrand, you may discard a Shadow possession.
Tom Bombadil's Hat (P);Promotional;LOTR00060;Free;Shire;Possession - Support Area;01;;;;;U;00;P;060;;;To play, spot 2 [SHIRE] companions. Each time a Shadow card adds a burden or a threat, add a [SHIRE] token here. Fellowship: Remove 2 [SHIRE] tokens from here to remove a burden.
The Witch-king, Black Captain (P);Promotional;LOTR00061;Shadow;Wraith;Minion - Nazgul;08;14;4;;3;U;00;P;061;;;Enduring. Each Man skirmishing The Witch-king loses all strength bonuses from weapons.
Gimli, Dwarven Delegate (P);Promotional;LOTR00062;Free;Dwarven;Companion - Dwarf;02;07;3;06;;U;00;P;062;;;Damage +1.
Arwen, Maiden of Rivendell (P);Promotional;LOTR00063;Free;Elven;Companion - Elf;02;06;3;06;;U;00;P;063;;;Ranger. Skirmish: Exert Arwen to make a minion skirmishing an Elf strength -2.
Gandalf, Stormcrow (P);Promotional;LOTR00064;Free;Gandalf;Companion - Wizard;04;08;4;06;;U;00;P;064;;;
Boromir, Steward's Heir (P);Promotional;LOTR00065;Free;Gondor;Companion - Man;03;07;3;06;;U;00;P;065;;;Knight. Ranger. Ring-bound.
Eomer, Forthwith Banished (P);Promotional;LOTR00066;Free;Rohan;Companion - Man;02;07;3;06;;U;00;P;066;;;Damage +1. Valiant. While you can spot a [ROHAN] Man, Eomer's twilight cost is -1.
Frodo, Mr. Underhill (P);Promotional;LOTR00067;Free;Shire;Companion - Hobbit;00;03;4;10;Gandalf;U;00;P;067;;;Ring-bearer (Resistance 10). The twilight cost of each artifact, possession, and [SHIRE] tale played on Frodo is -1.
The One Ring, The Binding Ring (P);Promotional;LOTR00068;The One Ring;The One Ring;The One Ring;;+1;+1;;;U;00;P;068;;;Fellowship: Add 2 burdens to play a ring from your draw deck. Maneuver: Exert bearer to wear The One Ring until the regroup phase. While wearing The One Ring, each time the Ring-bearer is about to take a wound, add a burden instead.
Nocked (P);Promotional;LOTR00069;Free;Elven;Event - Archery;02;;;;;;00;P;069;;;Exert an Elf who has resistance 4 or more to wound a minion.
Gandalf, Leader of the Company (P);Promotional;LOTR00070;Free;Gandalf;Companion - Wizard;04;07;4;07;;U;00;P;070;;;While Gandalf is in region 1, each other companion is strength +2. While Gandalf is in region 2, each companion is strength +1. While Gandalf is in region 3, he is strength +2.
Boromir, Hero of Osgiliath (P);Promotional;LOTR00071;Free;Gondor;Companion - Man;03;07;3;05;;U;00;P;071;;;Knight. Each time Boromir wins a skirmish, you may heal a [GONDOR] companion.
Bow of Minas Tirith (P);Promotional;LOTR00072;Free;Gondor;Possession - Ranged Weapon;01;+1;;;;;00;P;072;;;Bearer must be a [GONDOR] Man. At the start of the archery phase, if bearer is at a battleground site, you may exert him or her to make the fellowship archery total +1.
Armored Easterling (P);Promotional;LOTR00073;Shadow;Men;Minion - Man;04;10;3;;4;;00;P;073;;;Skirmish: Remove [2] to make a lurker strength +1. Skirmish: Remove [2] to make a lurker fierce until the regroup phase. Skirmish: Remove [2] to make a lurker damage +1.
Poleaxe (P);Promotional;LOTR00074;Shadow;Men;Possession - Hand Weapon;01;+2;;;;;00;P;074;;;Bearer must be a [MEN] minion. Skirmish: Remove [2] to make a [MEN] minion fierce until the regroup phase.
Champion Orc (P);Promotional;LOTR00075;Shadow;Orc;Minion - Orc;05;13;2;;4;;00;P;075;;;Toil 2. (For each [ORC] character you exert when playing this, its twilight cost is -2.)
Spurred to Battle (P);Promotional;LOTR00076;Shadow;Orc;Condition - Support Area;01;;;;;;00;P;076;;;To play, exert an [ORC] minion. At the start of the Shadow phase, add [1].
Riders of the Mark (P);Promotional;LOTR00077;Free;Rohan;Companion - Man;05;08;3;06;;U;00;P;077;;;To play, spot 2 [ROHAN] companions. You may play Riders of the Mark any time you could play a skirmish event. When you play Riders of the Mark, you may exhaust a minion.
Sam, Steadfast Friend (P);Promotional;LOTR00078;Free;Shire;Companion - Hobbit;02;03;4;10;;U;00;P;078;;;Ring-bound. Each other companion is resistance +1.
Arwen, Staunch Defender (P);Promotional;LOTR00079;Free;Elven;Companion - Elf;02;06;3;07;;U;00;P;079;;;Each minion skirmishing Arwen is strength -1 for each forest site on the adventure path.
Eomer, Eored Leader (P);Promotional;LOTR00080;Free;Rohan;Companion - Man;03;07;3;07;;U;00;P;080;;;While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. Maneuver: If you can spot more minions than companions, exert Eomer to play a [ROHAN] companion from your draw deck.
Ulaire Toldea, Black Shadow (P);Promotional;LOTR00081;Shadow;Wraith;Minion - Nazgul;06;12;3;;3;U;00;P;081;;;Fierce. When you play Ulaire Toldea, you may exert him to take a [RINGWRAITH] event from your discard pile into hand.
The Witch-king's Beast, Fell Creature (P);Promotional;LOTR00082;Shadow;Wraith;Possession - Mount;02;+2;;;;U;00;P;082;;;Bearer must be a Nazgul. If bearer is The Witch-king, after all skirmishes and fierce skirmishes have been resolved, you may exert him twice to make him participate in one additional assignment and skirmish phase.
Ulaire Attea, Second of the Nine Riders (P);Promotional;LOTR00083;Shadow;Wraith;Minion - Nazgul;06;12;3;;3;U;00;P;083;;;Fierce. Each time Ulaire Attea is assigned to a fierce skirmish involving a character who has resistance 4 or less, you may exert Ulaire Attea to add a burden.
Sting, Weapon of Heritage (P);Promotional;LOTR00084;Free;Shire;Possession - Hand Weapon;01;+2;;;;U;00;P;084;;;Bearer must be Bilbo, Frodo, or Sam. Maneuver: If bearer is Bilbo or Frodo, exert him to make another companion resistance +2 until the regroup phase. If bearer is Sam, each time he wins a skirmish, you may remove a burden.
Olog-Hai Bestial (P);Promotional;LOTR00085;Shadow;Orc;Minion - Troll;06;13;3;;5;;00;P;085;;;Degats +1. Acharne. Pour jouer, designez un seide [ORC]. Affectation : Affaiblissez ce seide pour l'affecter a un compagnon qui detient un artefact. Le joueur des Peuples Libres peut defausser un artefact en jeu pour prevenir ceci.
Pippin, Brave Decoy (P);Promotional;LOTR00086;Free;Shire;Companion - Hobbit;01;03;4;09;;U;00;P;086;;;Skirmish: If Pippin is not assigned to a skirmish, spot an unbound companion who has less resistance than Pippin to have Pippin replace him or her in a skirmish.
Legolas, Companion of the Ring (P);Promotional;LOTR00087;Free;Elven;Companion - Elf;02;06;3;07;;U;00;P;087;;;While Legolas is at a battleground or forest site, he is strength +2 and resistance +2.
Eowyn, Shieldmaiden of Rohan (P);Promotional;LOTR00088;Free;Rohan;Companion - Man;02;06;3;07;;U;00;P;088;;;Each time Eowyn wins a skirmish, each other [ROHAN] Man is strength +1 until the regroup phase.
Jarnsmid, Barding Emissary (P);Promotional;LOTR00089;Free;Gandalf;Companion - Man;02;04;3;05;;U;00;P;089;;;At the start of each skirmish involving Jarnsmid, you may remove a burden (or 2 burdens if you can spot another [GANDALF] companion).
Vapour and Steam (P);Promotional;LOTR00090;Free;Gandalf;Condition - Support Area;01;;;;;;00;P;090;;;Skirmish: Exert your [GANDALF] companion and add a burden to make that companion damage +1.
Massing Strength (P);Promotional;LOTR00091;Shadow;Orc;Event - Skirmish;00;;;;;;00;P;091;;;Discard any number of your [ORC] minions from play to make an [ORC] minion strength +3 for each one discarded.
Morgul Tormentor (P);Promotional;LOTR00092;Shadow;Orc;Minion - Orc;03;09;2;;4;;00;P;092;;;Each time the Free Peoples player assigns this minion to skirmish an unwounded companion, he or she must add a burden or discard a card from hand.
Farmer Maggot, Hobbit of the Marish (P);Promotional;LOTR00093;Free;Shire;Companion - Hobbit;01;03;3;08;;U;00;P;093;;;While Farmer Maggot is at a dwelling or forest site, he is strength +4.
Mithril-coat, Dwarf-mail (P);Promotional;LOTR00094;Free;Shire;Artifact - Armor;02;;;;;U;00;P;094;;;Bearer must be a Ring-bound Hobbit. Each minion skirmishing bearer loses all damage bonuses. Skirmish: Exert bearer to make each minion he is skirmishing lose fierce and unable to gain fierce until the regroup phase.
Saruman, Agent of the Dark Lord (P);Promotional;LOTR00095;Shadow;Uruk-Hai;Minion - Wizard;04;08;4;;4;U;00;P;095;;;Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Skirmish: Exert Saruman to make an [URUK-HAI] minion strength +2. Each time a companion is killed, you may heal Saruman.
Keening Wail (P);Promotional;LOTR00096;Shadow;Wraith;Event - Maneuver;07;;;;;;00;P;096;;;Toil 2. (For each [RINGWRAITH] character you exert when playing this, its twilight cost is -2.) Spot a Nazgul to add a burden.
Ulaire Nelya, Third of the Nine Riders (P);Promotional;LOTR00097;Shadow;Wraith;Minion - Nazgul;05;10;3;;2;U;00;P;097;;;Fierce. Shadow: Exert Ulaire Nelya to replace the fellowship's current site with a site from your adventure deck.
Ulaire Lemenya, Black Enemy (P);Promotional;LOTR00098;Shadow;Wraith;Minion - Nazgul;04;09;2;;3;U;00;P;098;;;When you play Ulaire Lemenya, you may play a [RINGWRAITH] mount from your discard pile.
Ulaire Nelya, Black Hunter (P);Promotional;LOTR00099;Shadow;Wraith;Minion - Nazgul;05;10;3;;2;U;00;P;099;;;Fierce. Each time Ulaire Nelya wins a skirmish, you may draw a card.
The Mouth of Sauron, Messenger of Mordor (P);Promotional;LOTR00100;Shadow;Men;Minion - Man;03;09;3;;5;U;00;P;100;;;Maneuver: Exert The Mouth of Sauron to play a [MEN] condition or [MEN] possession from your draw deck.
Orophin, Brother of Haldir (P);Promotional;LOTR00101;Free;Elven;Companion - Elf;02;06;3;06;;U;00;P;101;;;While Orophin is at a forest site and you can spot another Elf, Orophin is an archer.
Grima, Footman of Saruman (P);Promotional;LOTR00102;Shadow;Men;Minion - Man;02;04;3;;3;U;00;P;102;Image fixed. ;;Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Each time a Free Peoples character is killed, you may spot another [MEN] minion to exert each companion.
Ulaire Otsea, Zwarte Schim (P);Promotional;LOTR00103;Shadow;Wraith;Minion - Nazgul;04;09;3;;3;U;00;P;103;;;Shadow: Exert Ulaire Otsea and discard a [RINGWRAITH] condition from hand to discard a Free Peoples condition from play.
Saruman, Of Many Colours (P);Promotional;LOTR00104;Shadow;Isengard;Minion - Wizard;04;08;4;;4;U;00;P;104;;;Damage +1. Fierce. Lurker. (Skirmishes involving lurker minions must be resolved after any others.) When you play Saruman, name a culture. Each companion of the named culture is strength -1.
Ulaire Otsea, Seventh of the Nine Riders (P);Promotional;LOTR00105;Shadow;Wraith;Minion - Nazgul;04;09;3;;3;U;00;P;105;;;When you play Ulaire Otsea, you may spot a companion who has X wounds to reveal the top X cards of your draw deck. Take each [RINGWRAITH] card revealed this way into hand.
Hama, Captain of the King's Guard (P);Promotional;LOTR00106;Free;Rohan;Companion - Man;02;06;3;06;;U;00;P;106;;;Hama is strength +1 for each Shadow possession you can spot. Each time Hama wins a skirmish, you may discard a possession from play.
Guard of the White Tree (P);Promotional;LOTR00107;Free;Gondor;Companion - Man;03;07;3;05;;;00;P;107;;;Knight. Skirmish: Discard a [GONDOR] condition from your support area to make this companion strength +2.
The Witch-king, Captain of the Nine Riders (P);Promotional;LOTR00108;Shadow;Wraith;Minion - Nazgul;08;14;4;;3;U;00;P;108;;;Fierce. Toil 2. (For each [RINGWRAITH] character you exert when playing this, its twilight cost is -2.) Muster. (At the start of the regroup phase, you may discard a card from hand to draw a card.)
Ulaire Attea, Second of the Nine Riders (P);Promotional;LOTR00109;Shadow;Wraith;Minion - Nazgul;06;12;3;;3;U;00;P;109;;;Fierce. Each time Ulaire Attea is assigned to a fierce skirmish involving a character who has resistance 4 or less, you may exert Ulaire Attea to add a burden.
Ulaire Nelya, Third of the Nine Riders (P);Promotional;LOTR00110;Shadow;Wraith;Minion - Nazgul;05;10;3;;2;U;00;P;110;;;Fierce. Shadow: Exert Ulaire Nelya to replace the fellowship's current site with a site from your adventure deck.
Ulaire Cantea, Fourth of the Nine Riders (P);Promotional;LOTR00111;Shadow;Wraith;Minion - Nazgul;05;10;3;;3;U;00;P;111;;;While Ulaire Cantea is at a forest or dwelling site, he is strength +2 and fierce.
Ulaire Lemenya, Fifth of the Nine Riders (P);Promotional;LOTR00112;Shadow;Wraith;Minion - Nazgul;04;09;2;;3;U;00;P;112;;;Each character skirmishing Ulaire Lemenya who has resistance 5 or less is strength -3.
Ulaire Enquea, Sixth of the Nine Riders (P);Promotional;LOTR00113;Shadow;Wraith;Minion - Nazgul;06;11;4;;3;U;00;P;113;;;Fierce. When you play Ulaire Enquea, if you can spot 2 other Nazgul, you may exert 2 unbound companions (or exert each companion if you can spot 6 companions).
Ulaire Otsea, Seventh of the Nine Riders (P);Promotional;LOTR00114;Shadow;Wraith;Minion - Nazgul;04;09;3;;3;U;00;P;114;;;When you play Ulaire Otsea, you may spot a companion who has X wounds to reveal the top X cards of your draw deck. Take each [RINGWRAITH] card revealed this way into hand.
Ulaire Toldea, Eighth of the Nine Riders (P);Promotional;LOTR00115;Shadow;Wraith;Minion - Nazgul;06;12;3;;3;U;00;P;115;;;Fierce. Each time Ulaire Toldea wins a skirmish, you may play the fellowship's next site.
Ulaire Nertea, Ninth of the Nine Riders (P);Promotional;LOTR00116;Shadow;Wraith;Minion - Nazgul;04;09;2;;3;U;00;P;116;;;Lurker. (Skirmishes involving lurker minions must be resolved after any others.) While Ulaire Nertea is at a forest site, he is strength +2. While you can spot 6 companions, each Nazgul is strength +2.
Faramir, Prince of Ithilien (P);Promotional;LOTR00117;Free;Gondor;Companion - Man;03;07;3;07;;U;00;P;117;;;While you can spot Boromir, Faramir is twilight cost -1. While you can spot Denethor, Faramir is twilight cost -1. While Faramir bears a [GONDOR] possession, he is defender +1.
Eowyn, Restless Warrior (P);Promotional;LOTR00118;Free;Rohan;Companion - Man;02;06;3;06;;U;00;P;118;Image fix by Malachi. ;;Each possession you play on Eowyn during the fellowship phase is twilight cost -1. Each time the fellowship moves during the regroup phase, you may reinforce a [ROHAN] token (or reinforce 2 [ROHAN] tokens if you can spot Eomer or Theoden).
